<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPBEX.INTC,D,20220902,000000,31.7600000,32.3700000,31.0600000,31.2500000,30811
SPBEX.INTC,D,20220903,000000,31.2900000,31.2900000,31.2400000,31.2400000,427
SPBEX.INTC,D,20220906,000000,31.5400000,31.7300000,30.3400000,30.3600000,41687
SPBEX.INTC,D,20220907,000000,30.3600000,30.7800000,30.0600000,30.7300000,25096
SPBEX.INTC,D,20220908,000000,30.7100000,30.8400000,29.9100000,30.8000000,37358
SPBEX.INTC,D,20220909,000000,30.8000000,31.5000000,30.7300000,31.4200000,29613
SPBEX.INTC,D,20220910,000000,31.4200000,31.5000000,31.3800000,31.5000000,150
SPBEX.INTC,D,20220912,000000,31.6500000,31.8500000,31.1300000,31.6200000,23472
SPBEX.INTC,D,20220913,000000,31.6200000,31.8600000,29.2500000,29.2900000,87679
SPBEX.INTC,D,20220914,000000,29.2900000,29.9700000,29.0200000,29.2200000,51371
SPBEX.INTC,D,20220915,000000,29.2300000,29.4000000,28.7200000,28.7900000,54622
SPBEX.INTC,D,20220916,000000,28.7900000,29.3200000,28.4300000,29.3000000,47139
SPBEX.INTC,D,20220917,000000,29.3000000,29.3000000,29.2300000,29.2700000,831
SPBEX.INTC,D,20220919,000000,29.0700000,29.5300000,28.9100000,29.4700000,35899
SPBEX.INTC,D,20220920,000000,29.4600000,29.5900000,28.7100000,28.9900000,61378
SPBEX.INTC,D,20220921,000000,28.9800000,29.5700000,27.4700000,28.4400000,39889
SPBEX.INTC,D,20220922,000000,28.4500000,28.7300000,28.0100000,28.0600000,32258
SPBEX.INTC,D,20220923,000000,28.1000000,28.1500000,27.2000000,27.5500000,36032
SPBEX.INTC,D,20220924,000000,27.5500000,27.5900000,27.5100000,27.5800000,269
SPBEX.INTC,D,20220926,000000,27.3400000,27.6900000,26.8800000,26.9200000,40152
SPBEX.INTC,D,20220927,000000,26.9300000,27.5900000,26.6200000,26.9000000,26253
SPBEX.INTC,D,20220928,000000,26.9100000,27.2600000,26.5000000,27.1100000,35252
SPBEX.INTC,D,20220929,000000,27.1100000,27.2700000,26.1900000,26.3400000,43859
SPBEX.INTC,D,20220930,000000,26.3400000,26.5800000,25.7600000,25.8900000,49177
SPBEX.INTC,D,20221001,000000,25.9000000,25.9500000,25.8000000,25.8600000,540
SPBEX.INTC,D,20221003,000000,25.8100000,27.2400000,25.7600000,26.9700000,15877
SPBEX.INTC,D,20221004,000000,26.9900000,27.7900000,26.9600000,27.7200000,6821
SPBEX.INTC,D,20221005,000000,27.7200000,27.8100000,26.8900000,27.6300000,11222
SPBEX.INTC,D,20221006,000000,27.6300000,27.8300000,26.2000000,26.4800000,14032
SPBEX.INTC,D,20221007,000000,26.5700000,26.5900000,25.6500000,25.7000000,12303
SPBEX.INTC,D,20221008,000000,25.6800000,25.7100000,25.6100000,25.6900000,119
SPBEX.INTC,D,20221010,000000,25.6700000,25.9600000,25.0900000,25.1800000,11759
SPBEX.INTC,D,20221011,000000,25.2000000,25.4000000,24.7000000,25.1100000,7375
SPBEX.INTC,D,20221012,000000,25.1600000,25.5100000,24.6800000,25.2900000,7574
SPBEX.INTC,D,20221013,000000,25.3300000,26.8100000,24.5600000,26.3700000,12006
